Universe,Universe_Group,Opportunity_Type,Opportunity_Eligible,Symbol,Raw_Symbol,Name,Category,ISIN,Include,Source
ETF,ETF,Equity ETF,Yes,EVIETF.NS,EVIETF,ICICIPRAMC - EVIETF,Auto ETF,INF109K1A153,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,EVINDIA.NS,EVINDIA,MIRAEAMC - EVINDIA,Auto ETF,INF769K01LQ3,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,FINIETF.NS,FINIETF,ICICIPRAMC-ICICIFIN,Bank/Financial ETF,INF109KC17L8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,FLEXIADD.NS,FLEXIADD,DSPAMC - FLEXIADD,IT ETF,INF740KA1WU9,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,FMCGADD.NS,FMCGADD,DSPAMC - FMCGADD,Consumption/FMCG ETF,INF740KA1ZA4,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,FMCGIETF.NS,FMCGIETF,ICICIPRAMC-ICICIFMCG,Consumption/FMCG ETF,INF109KC19V3,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GILT10BETA.NS,GILT10BETA,UTIAMC-GILT10BETA,Parking/Debt ETF,INF789F1AZF3,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GILT5BETA.NS,GILT5BETA,UTIAMC-GILT5BETA,Parking/Debt ETF,INF789F1AZE6,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,GILT5YBEES.NS,GILT5YBEES,RELCAPAMC-NETFGILT5Y,Parking/Debt ETF,INF204KC1030,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLD1.NS,GOLD1,KotakMutualFund-Gold,Gold ETF,INF174KA1HJ8,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLD360.NS,GOLD360,360ONEAMC - GOLD360,Gold ETF,INF579M01BB5,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDADD.NS,GOLDADD,DSPAMC - DSPGOLD,Gold ETF,INF740KA1SW3,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDAXIS.NS,GOLDAXIS,AXISAMC-GOLDAXIS,Gold ETF,INF846K01W80,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDBEES.NS,GOLDBEES,NIPINDETFGOLDBEES,Gold ETF,INF204KB17I5,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDBETA.NS,GOLDBETA,UTIAMC -UTIGOLDBETA,Gold ETF,INF789F1AUX7,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDBND.NS,GOLDBND,BANDHANAMC - GOLDBND,Gold ETF,INF194KB1KJ7,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDCASE.NS,GOLDCASE,ZERODHAAMC-GOLDCASE,Gold ETF,INF0R8F01042,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDETF.NS,GOLDETF,MIRAEAMC-MAGOLDETF,Gold ETF,INF769K01JP9,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,GOLDIETF.NS,GOLDIETF,ICICIPrudGoldETF,Gold ETF,INF109KC1NT3,Yes,NSE ETF
