Symbol,Raw_Symbol,Name,Category,ISIN,ETF_Name,ETF_Category,ETF_ISIN,Suggested_AMFI_Scheme_Code,Suggested_AMFI_Scheme_Name,Suggested_NAV,Suggested_NAV_Date,Match_Score,Match_Type,Mapping_Status,Manual_AMFI_Scheme_Code,Manual_AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,Quality_Override_Notes
HEALTHAXIS.NS,HEALTHAXIS,AXISAMC-HEALTHAXIS,Pharma/Healthcare ETF,INF846K01Z12,AXISAMC-HEALTHAXIS,Pharma/Healthcare ETF,INF846K01Z12,148934,Axis NIFTY Healthcare ETF,167.1722,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HEALTHCARE.NS,HEALTHCARE,MIRAEAMC - HEALTHCARE,Pharma/Healthcare ETF,INF769K01QA6,MIRAEAMC - HEALTHCARE,Pharma/Healthcare ETF,INF769K01QA6,154169,Mirae Asset Nifty 500 Healthcare ETF,21.2788,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HEALTHIETF.NS,HEALTHIETF,ICICIPRAMC-ICICIPHARM,Pharma/Healthcare ETF,INF109KC1Q72,ICICIPRAMC-ICICIPHARM,Pharma/Healthcare ETF,INF109KC1Q72,148957,ICICI Prudential Nifty Healthcare ETF,168.531,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HEALTHY.NS,HEALTHY,BIRLASLAMC-HEALTHY,Pharma/Healthcare ETF,INF209KB10C2,BIRLASLAMC-HEALTHY,Pharma/Healthcare ETF,INF209KB10C2,149262,Aditya Birla Sun Life Nifty Healthcare ETF,16.8962,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HNGSNGBEES.NS,HNGSNGBEES,NIPINDETFHANGSENGBEES,International ETF,INF204KB19I1,NIPINDETFHANGSENGBEES,International ETF,INF204KB19I1,140095,Nippon India ETF Hang Seng BeES,420.4947,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HSBCGOLD.NS,HSBCGOLD,HSBCAMC - HSBCGOLD,Gold ETF,INF336L01RX2,HSBCAMC - HSBCGOLD,Gold ETF,INF336L01RX2,154294,HSBC Gold ETF,126.4377,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ICICIB22.NS,ICICIB22,ICICIPRAMC-BHARATIWIN,International ETF,INF109KB15Y7,ICICIPRAMC-BHARATIWIN,International ETF,INF109KB15Y7,141957,BHARAT 22 ETF,118.5461,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
IDFNIFTYET.NS,IDFNIFTYET,BANDHANAMC-IDFNIFTYET,Broad Market ETF,INF194KA1U07,BANDHANAMC-IDFNIFTYET,Broad Market ETF,INF194KA1U07,139839,BANDHAN Nifty 50 ETF,267.7345,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
INFRA.NS,INFRA,MIRAEAMC - INFRA,Broad Market ETF,INF769K01QB4,MIRAEAMC - INFRA,Broad Market ETF,INF769K01QB4,154181,Mirae Asset Nifty India Infrastructure & Logistics ETF,12.3568,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
INFRABEES.NS,INFRABEES,NIPINDETFINFRABEES,Broad Market ETF,INF732E01268,NIPINDETFINFRABEES,Broad Market ETF,INF732E01268,140102,Nippon India ETF Nifty Infrastructure BeES,978.2109,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
INFRAIETF.NS,INFRAIETF,ICICIPRAMC-ICICIINFRA,Broad Market ETF,INF109KC16E5,ICICIPRAMC-ICICIINFRA,Broad Market ETF,INF109KC16E5,150526,ICICI Prudential Nifty Infrastructure ETF,97.3784,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
INTERNET.NS,INTERNET,MIRAEAMC - INTERNET,IT ETF,INF769K01PB6,MIRAEAMC - INTERNET,IT ETF,INF769K01PB6,153642,Mirae Asset Nifty India Internet ETF,12.9843,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
IT.NS,IT,KOTAKMAMC-KOTAKIT,IT ETF,INF174KA1GC5,KOTAKMAMC-KOTAKIT,IT ETF,INF174KA1GC5,148763,Kotak Nifty IT ETF,30.425,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ITADD.NS,ITADD,DSPAMC - DSPIT,IT ETF,INF740KA1SX1,DSPAMC - DSPIT,IT ETF,INF740KA1SX1,151820,DSP Nifty IT ETF,29.0551,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ITAXIS.NS,ITAXIS,AXISAMC-ITAXIS,IT ETF,INF846K01Y96,AXISAMC-ITAXIS,IT ETF,INF846K01Y96,148799,Axis IT ETF,301.8434,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ITBEES.NS,ITBEES,NIPINDETFIT,IT ETF,INF204KB15V2,NIPINDETFIT,IT ETF,INF204KB15V2,148408,Nippon India ETF Nifty IT,30.431,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
