Symbol,Raw_Symbol,Name,Universe_Group,Opportunity_Type,ISIN,AMFI_Scheme_Code,AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,NAV_Source,NAV_Match_Method,NAV_Match_Score,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,AUM_Source,TER_Source,Tracking_Error_Source,Tracking_Difference_Source,Benchmark_Source,Metadata_Confidence,Metadata_Flags,Last_Updated
BNKETFAXIS.NS,BNKETFAXIS,AXISAMC-BNKETFAXIS,ETF,Equity ETF,INF846K01X63,148559,Axis NIFTY Bank ETF,597.3121,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,40055.67,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BSE500IETF.NS,BSE500IETF,ICICIPRAMC-ICICI500,ETF,International ETF,INF109KC1V59,143247,ICICI Prudential BSE 500 ETF,39.331,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,33290.99,0.0025,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BSLGOLDETF.NS,BSLGOLDETF,ABSLGoldETF-GO,ETF,Commodity ETF,INF209KB18D3,115127,Aditya Birla Sun Life Gold ETF,127.7406,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BSLNIFTY.NS,BSLNIFTY,ABSLNiftyETF-GO,ETF,Equity ETF,INF209KB19D1,115512,Aditya Birla Sun Life Nifty 50 ETF,28.4069,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,97044.57,0.04,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BSLSENETFG.NS,BSLSENETFG,BIRLASLAMC-BSLSENETFG,ETF,Equity ETF,INF209KB10E8,139581,Aditya Birla Sun Life BSE Sensex ETF,78.2908,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,28039.64,0.04,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
CASHIETF.NS,CASHIETF,ICICIPRAMC - CASHIETF,ETF,Parking/Debt ETF,INF109K1A021,153378,ICICI Prudential BSE Liquid Rate ETF - Growth,1069.1148,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,81712.07,0.0021,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
CHEMICAL.NS,CHEMICAL,KOTAKMAMC - CHEMICAL,ETF,Equity ETF,INF174KA1XV0,153934,Kotak Nifty Chemicals ETF,30.046,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,4044.95,,,-0.0039,Nifty Chemicals TRI,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
CHOICEGOLD.NS,CHOICEGOLD,ChoiceAMC - CHOICEGOLD,ETF,Commodity ETF,INF2KCX01012,153933,Choice Gold ETF,144.2197,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,6943.49,,,0.0,Domestic price of gold,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
COMMOIETF.NS,COMMOIETF,ICICIPRAMC-ICICICOMMO,ETF,Equity ETF,INF109KC19O8,151207,ICICI Prudential Nifty Commodities ETF,100.6019,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,11606.53,0.0026,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
CONS.NS,CONS,KOTAKMAMC-KOTAKCONS,ETF,Equity ETF,INF174KA1ZF8,150492,Kotak Nifty India Consumption ETF,12.1131,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,3387.97,0.0036,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
