Date,Symbol,Delivery_Pct
2026-07-03,BLUEDART,49.79
2026-07-03,BLUEJET,47.08
2026-07-03,BLUESTARCO,49.37
2026-07-03,BLUESTONE,46.65
2026-07-03,BLUSPRING,25.16
2026-07-03,BMWVENTLTD,59.97
2026-07-03,BNKETFAXIS,70.17
2026-07-03,BOHRAIND,69.71
2026-07-03,BOMDYEING,46.55
2026-07-03,BONLON,67.02
2026-07-03,BORANA,55.9
2026-07-03,BOROLTD,55.27
2026-07-03,BORORENEW,47.82
2026-07-03,BOROSCI,52.22
2026-07-03,BOSCH-HCIL,48.79
2026-07-03,BOSCHLTD,48.6
2026-07-03,BPCL,32.49
2026-07-03,BPL,45.41
2026-07-03,BRIGADE,62.55
2026-07-03,BRIGHOTEL,56.39
2026-07-03,BRITANNIA,49.9
2026-07-03,BRNL,57.7
2026-07-03,BSE,33.47
2026-07-03,BSE500IETF,59.51
2026-07-03,BSL,76.36
2026-07-03,BSLGOLDETF,40.27
2026-07-03,BSLNIFTY,76.43
2026-07-03,BSLSENETFG,59.38
2026-07-03,BSOFT,43.08
2026-07-03,BTML,85.61
2026-07-03,BTTL,69.43
2026-07-03,BUILDPRO,71.68
2026-07-03,BUTTERFLY,16.42
2026-07-03,BVCL,49.67
2026-07-03,CAMLINFINE,46.39
2026-07-03,CAMPUS,46.76
2026-07-03,CAMS,30.47
2026-07-03,CANBK,40.44
2026-07-03,CANFINHOME,45.55
2026-07-03,CANHLIFE,65.28
2026-07-03,CANTABIL,42.5
2026-07-03,CAPACITE,59.76
2026-07-03,CAPILLARY,77.7
2026-07-03,CAPITALSFB,50.33
2026-07-03,CAPLIPOINT,32.62
2026-07-03,CARBORUNIV,37.63
2026-07-03,CARERATING,70.91
2026-07-03,CARRARO,56.4
2026-07-03,CARTRADE,47.67
2026-07-03,CARYSIL,49.3
2026-07-03,CASHIETF,63.31
2026-07-03,CASTROLIND,54.59
2026-07-03,CCAVENUE,30.94
2026-07-03,CCCL,69.69
2026-07-03,CCHHL,83.13
2026-07-03,CCL,41.07
2026-07-03,CDSL,43.92
2026-07-03,CEATLTD,44.72
2026-07-03,CEIGALL,54.66
2026-07-03,CEINSYS,50.25
2026-07-03,CELEBRITY,60.17
2026-07-03,CELLO,59.83
2026-07-03,CEMPRO,47.7
2026-07-03,CENTENKA,61.06
2026-07-03,CENTEXT,77.53
2026-07-03,CENTRALBK,39.5
2026-07-03,CENTRUM,17.26
2026-07-03,CENTUM,42.28
2026-07-03,CENTURYPLY,66.49
2026-07-03,CERA,50.95
2026-07-03,CESC,56.57
2026-07-03,CEWATER,31.46
2026-07-03,CGCL,38.76
2026-07-03,CGPOWER,43.44
2026-07-03,CHALET,52.98
2026-07-03,CHAMBLFERT,42.13
2026-07-03,CHEMICAL,75.7
2026-07-03,CHEMPLASTS,53.7
2026-07-03,CHENNPETRO,29.14
2026-07-03,CHEVIOT,67.81
2026-07-03,CHOICEGOLD,69.97
2026-07-03,CHOICEIN,32.98
2026-07-03,CHOLAFIN,63.17
2026-07-03,CHOLAHLDNG,43.93
2026-07-03,CIEINDIA,60.44
2026-07-03,CIFL,35.26
2026-07-03,CINELINE,74.9
2026-07-03,CINEVISTA,67.81
2026-07-03,CIPLA,59.94
2026-07-03,CLEAN,52.12
2026-07-03,CLEANMAX,42.89
2026-07-03,CLSEL,50.8
2026-07-03,CMPDI,43.74
2026-07-03,CMRGREEN,31.01
2026-07-03,CMSINFO,57.76
2026-07-03,CNL,84.2
2026-07-03,COALINDIA,51.03
2026-07-03,COASTCORP,44.29
2026-07-03,COCHINSHIP,28.45
2026-07-03,COCKERILL,45.0
2026-07-03,COFORGE,48.68
2026-07-03,COHANCE,39.82
2026-07-03,COLPAL,47.63
2026-07-03,COMFINTE,56.02
2026-07-03,COMMOIETF,76.33
2026-07-03,COMPUSOFT,73.9
2026-07-03,COMSYN,14.66
2026-07-03,CONCOR,61.96
2026-07-03,CONCORDBIO,32.95
2026-07-03,CONFIPET,41.86
2026-07-03,CONS,98.86
2026-07-03,CONSOFINVT,53.13
2026-07-03,CONSUMAXIS,96.27
2026-07-03,CONSUMBEES,61.01
2026-07-03,CONSUMER,94.98
2026-07-03,CONSUMIETF,74.87
2026-07-03,CONTROLPR,20.48
2026-07-03,CORALFINAC,54.91
2026-07-03,CORDELIA,17.33
2026-07-03,COROMANDEL,54.89
2026-07-03,CORONA,46.16
2026-07-03,COSMOFIRST,40.65
2026-07-03,COUNCODOS,66.22
2026-07-03,CPEDU,73.56
2026-07-03,CPPLUS,54.26
2026-07-03,CPSEETF,59.25
2026-07-03,CRAFTSMAN,55.99
2026-07-03,CRAMC,53.9
2026-07-03,CREATIVEYE,66.3
2026-07-03,CREDITACC,52.27
2026-07-03,CREST,85.75
2026-07-03,CRISIL,63.1
2026-07-03,CRIZAC,54.82
2026-07-03,CROMPTON,45.06
2026-07-03,CROWN,85.46
2026-07-03,CSBBANK,55.06
2026-07-03,CSLFINANCE,58.82
2026-07-03,CTE,64.42
2026-07-03,CUB,53.11
2026-07-03,CUBEXTUB,55.21
2026-07-03,CUMMINSIND,56.73
2026-07-03,CUPID,26.45
2026-07-03,CURAA,87.06
2026-07-03,CYIENT,32.05
2026-07-03,CYIENTDLM,23.14
2026-07-03,DABUR,55.73
2026-07-03,DALBHARAT,42.82
2026-07-03,DALMIASUG,55.08
2026-07-03,DAMCAPITAL,52.69
2026-07-03,DAMODARIND,42.67
2026-07-03,DANGEE,73.81
2026-07-03,DATAMATICS,43.67
2026-07-03,DATAPATTNS,30.45
2026-07-03,DAVANGERE,68.13
2026-07-03,DBCORP,72.07
2026-07-03,DBL,33.91
2026-07-03,DBSTOCKBRO,30.76
2026-07-03,DCAL,39.36
2026-07-03,DCBBANK,46.85
2026-07-03,DCMSHRIRAM,48.27
2026-07-03,DCMSRIND,40.0
2026-07-03,DCW,32.54
2026-07-03,DCXINDIA,32.3
2026-07-03,DDEVPLSTIK,39.64
2026-07-03,DECCANCE,52.59
2026-07-03,DECNGOLD,30.66
2026-07-03,DEEPAKFERT,42.28
2026-07-03,DEEPAKNTR,50.93
2026-07-03,DEEPINDS,52.58
2026-07-03,DEFENCE,71.03
2026-07-03,DELHIVERY,54.82
2026-07-03,DELTACORP,34.85
2026-07-03,DELTAMAGNT,78.15
2026-07-03,DEN,46.51
2026-07-03,DENORA,58.14
2026-07-03,DENTA,15.14
2026-07-03,DEVIT,43.73
2026-07-03,DEVX,79.01
2026-07-03,DEVYANI,55.57
2026-07-03,DGCONTENT,89.04
2026-07-03,DHAMPURSUG,47.4
2026-07-03,DHANBANK,36.21
2026-07-03,DHANUKA,49.54
2026-07-03,DHARMAJ,74.76
2026-07-03,DHUNINV,57.7
2026-07-03,DIACABS,59.69
2026-07-03,DIAMINESQ,44.66
2026-07-03,DIAMONDYD,54.93
2026-07-03,DICIND,73.17
2026-07-03,DIFFNKG,56.88
2026-07-03,DIGIDRIVE,49.64
2026-07-03,DIGITIDE,7.46
2026-07-03,DIGJAMLMTD,61.91
2026-07-03,DISAQ,10.52
2026-07-03,DIVGIITTS,32.17
2026-07-03,DIVIDEND,65.05
2026-07-03,DIVISLAB,63.01
2026-07-03,DIVOPPBEES,56.28
2026-07-03,DIXON,26.8
2026-07-03,DJML,16.33
2026-07-03,DLF,53.64
2026-07-03,DLINKINDIA,65.74
2026-07-03,DMART,40.26
2026-07-03,DMCC,54.23
2026-07-03,DNAMEDIA,74.13
2026-07-03,DODLA,60.85
2026-07-03,DOLATALGO,65.03
2026-07-03,DOLLAR,45.47
2026-07-03,DOLPHIN,22.68
2026-07-03,DOMS,49.21
2026-07-03,DONEAR,80.04
2026-07-03,DPABHUSHAN,54.42
2026-07-03,DRAGARWQ,63.33
2026-07-03,DRCSYSTEMS,73.54
2026-07-03,DREAMFOLKS,59.72
2026-07-03,DREDGECORP,45.16
2026-07-03,DRREDDY,36.25
2026-07-03,DSSL,47.87
2026-07-03,DTIL,83.0
2026-07-03,DVL,60.07
2026-07-03,DWARKESH,35.47
2026-07-03,DYCL,45.03
2026-07-03,DYNAMATECH,31.92
2026-07-03,DYNPRO,68.66
2026-07-03,E2E,48.49
2026-07-03,EASEMYTRIP,28.71
2026-07-03,EBANKNIFTY,77.51
2026-07-03,EBBETF0430,66.92
2026-07-03,EBBETF0431,83.57
2026-07-03,EBBETF0433,51.51
2026-07-03,EBGNG,61.36
2026-07-03,ECAPINSURE,60.3
2026-07-03,ECLERX,19.41
2026-07-03,EDELWEISS,43.8
2026-07-03,EFCIL,31.84
2026-07-03,EGOLD,73.78
2026-07-03,EICHERMOT,50.22
2026-07-03,EIDPARRY,59.25
2026-07-03,EIEL,18.87
2026-07-03,EIHAHOTELS,62.47
2026-07-03,EIHOTEL,43.14
2026-07-03,EIMCOELECO,53.53
2026-07-03,EKC,44.69
2026-07-03,ELANTAS,22.28
2026-07-03,ELCIDIN,100.0
2026-07-03,ELDEHSG,69.85
2026-07-03,ELECON,53.84
2026-07-03,ELECTCAST,55.79
2026-07-03,ELECTHERM,65.61
2026-07-03,ELGIEQUIP,51.63
2026-07-03,ELGIRUBCO,51.2
2026-07-03,ELIN,59.14
2026-07-03,ELIQUID,70.8
2026-07-03,ELITECON,52.11
2026-07-03,ELLEN,52.06
2026-07-03,ELM250,77.74
2026-07-03,ELPROINTL,97.1
2026-07-03,EMAMILTD,50.25
2026-07-03,EMAMIPAP,55.41
2026-07-03,EMBDL,54.82
2026-07-03,EMCURE,47.51
2026-07-03,EMIL,37.27
2026-07-03,EMKAY,69.3
2026-07-03,EMMVEE,42.66
2026-07-03,EMSLIMITED,23.51
2026-07-03,EMUDHRA,54.34
2026-07-03,EMULTIMQ,69.26
2026-07-03,ENDURANCE,56.9
2026-07-03,ENERGY,48.58
2026-07-03,ENERGYDEV,72.19
2026-07-03,ENEXT50,55.15
2026-07-03,ENGINERSIN,46.75
2026-07-03,ENIFTY,61.98
2026-07-03,ENIL,93.39
2026-07-03,ENRIN,44.14
2026-07-03,ENTERO,49.52
2026-07-03,EPACK,42.88
2026-07-03,EPACKPEB,27.89
2026-07-03,EPIGRAL,55.67
2026-07-03,EPL,42.88
2026-07-03,EQUAL200,98.69
2026-07-03,EQUAL50,77.15
2026-07-03,EQUAL50ADD,68.02
2026-07-03,EQUITASBNK,49.64
2026-07-03,ERIS,56.22
2026-07-03,ESABINDIA,45.92
2026-07-03,ESAFSFB,54.58
2026-07-03,ESCORTS,49.19
2026-07-03,ESENSEX,83.54
2026-07-03,ESG,97.78
2026-07-03,ESILVER,94.22
2026-07-03,ESSARSHPNG,60.27
2026-07-03,ESTER,65.3
2026-07-03,ETERNAL,56.44
